GeneA,GeneB,Prediction,BinaryPrediction,label
TSPAN1,PACS1,0.8779441714286804,1,new_SL
TSPAN1,PPARG,0.877921998500824,1,new_SL
TSPAN1,P3H3,0.8765454888343811,1,new_SL
TSPAN1,SPRR2D,0.8754104971885681,1,new_SL
TSPAN1,CYP3A5,0.8753271698951721,1,new_SL
TSPAN1,SPRR2F,0.8746424317359924,1,new_SL
TSPAN1,GRB7,0.8743919134140015,1,new_SL
TSPAN1,CHD8,0.8740813136100769,1,new_SL
TSPAN1,KRTAP3-1,0.8738022446632385,1,new_SL
TSPAN1,STAT1,0.873231828212738,1,new_SL
TSPAN1,PLCG1,0.8731653690338135,1,new_SL
TSPAN1,IQGAP1,0.8729437589645386,1,new_SL
TSPAN1,MAP3K8,0.8726999163627625,1,new_SL
TSPAN1,CD6,0.8726494312286377,1,new_SL
TSPAN1,PPP1R15B,0.8725951313972473,1,new_SL
TSPAN1,PPARA,0.8721628785133362,1,new_SL
TSPAN1,PARP10,0.8719776272773743,1,new_SL
TSPAN1,NFKBIA,0.8716009259223938,1,new_SL
TSPAN1,CSH2,0.8715757727622986,1,new_SL
TSPAN1,CHGA,0.8710606694221497,1,new_SL
TSPAN1,NGFR,0.8710222244262695,1,new_SL
TSPAN1,WRN,0.8708975315093994,1,new_SL
TSPAN1,ITGA1,0.8708872199058533,1,new_SL
TSPAN1,CDH24,0.8706081509590149,1,new_SL
TSPAN1,PIK3C2B,0.8705652356147766,1,new_SL
TSPAN1,KNDC1,0.8702540993690491,1,new_SL
TSPAN1,RUSC2,0.8698580861091614,1,new_SL
TSPAN1,USP1,0.8695911169052124,1,new_SL
TSPAN1,ZNF513,0.8688393235206604,1,new_SL
TSPAN1,RIPK3,0.8687227368354797,1,new_SL
TSPAN1,RPGR,0.8679790496826172,1,new_SL
TSPAN1,RRAS2,0.8676098585128784,1,new_SL
TSPAN1,MYO18A,0.8673886656761169,1,new_SL
TSPAN1,FBXO24,0.8670514225959778,1,new_SL
TSPAN1,MT3,0.8670148253440857,1,new_SL
TSPAN1,RIMS2,0.8666311502456665,1,new_SL
TSPAN1,MYO9B,0.8646759390830994,1,new_SL
TSPAN1,TNRC6B,0.8634805083274841,1,new_SL
TSPAN1,ATRIP,0.8618397116661072,1,new_SL
TSPAN1,MUC1,0.86175537109375,1,new_SL
TSPAN1,ERCC5,0.8611977100372314,1,new_SL
TSPAN1,PMS1,0.8611466884613037,1,new_SL
TSPAN1,MFSD13A,0.8610072731971741,1,new_SL
TSPAN1,MSH2,0.860846221446991,1,new_SL
TSPAN1,KRTAP1-1,0.8601360321044922,1,new_SL
TSPAN1,NUP153,0.8600014448165894,1,new_SL
TSPAN1,ERRFI1,0.8595110774040222,1,new_SL
TSPAN1,CSF2RB,0.8588390946388245,1,new_SL
TSPAN1,GREB1,0.8583470582962036,1,new_SL
TSPAN1,STRC,0.8570359349250793,1,new_SL
TSPAN1,HSH2D,0.8554588556289673,1,new_SL
TSPAN1,NOTCH4,0.8544764518737793,1,new_SL
TSPAN1,NUTM2B,0.8543332815170288,1,new_SL
TSPAN1,RAP2A,0.853725254535675,1,new_SL
TSPAN1,DCLRE1A,0.8530577421188354,1,new_SL
TSPAN1,ERFL,0.852922260761261,1,new_SL
TSPAN1,IL5RA,0.8528004884719849,1,new_SL
TSPAN1,COP1,0.8527451157569885,1,new_SL
TSPAN1,SRCAP,0.8526105284690857,1,new_SL
TSPAN1,FOXO4,0.8520992994308472,1,new_SL
TSPAN1,IL6R,0.8519511222839355,1,new_SL
TSPAN1,FOSL1,0.8518655300140381,1,new_SL
TSPAN1,SMARCA2,0.851834237575531,1,new_SL
TSPAN1,ZC3H4,0.8509650826454163,1,new_SL
TSPAN1,GON4L,0.8506283164024353,1,new_SL
TSPAN1,MAPKAPK2,0.8504735231399536,1,new_SL
TSPAN1,VCY,0.8500856757164001,1,new_SL
TSPAN1,CD22,0.8498689532279968,1,new_SL
TSPAN1,PRDM2,0.849707841873169,1,new_SL
TSPAN1,PTK6,0.8485314249992371,1,new_SL
TSPAN1,LTK,0.8484717607498169,1,new_SL
TSPAN1,PLEKHA4,0.84821617603302,1,new_SL
TSPAN1,H2BC9,0.8478977084159851,1,new_SL
TSPAN1,VCAM1,0.8476174473762512,1,new_SL
TSPAN1,COL6A2,0.8475329279899597,1,new_SL
TSPAN1,GIPR,0.8471336364746094,1,new_SL
TSPAN1,NFE2L3,0.8465349078178406,1,new_SL
TSPAN1,PTPRD,0.8451759815216064,1,new_SL
TSPAN1,RASGRP2,0.8450191020965576,1,new_SL
TSPAN1,ATF5,0.8449390530586243,1,new_SL
TSPAN1,DOT1L,0.843379557132721,1,new_SL
TSPAN1,BACH1,0.8429917097091675,1,new_SL
TSPAN1,SYTL2,0.8426467180252075,1,new_SL
TSPAN1,SELL,0.8422364592552185,1,new_SL
TSPAN1,ETV1,0.8419273495674133,1,new_SL
TSPAN1,ITPKB,0.8416455388069153,1,new_SL
TSPAN1,FMN1,0.8413065075874329,1,new_SL
TSPAN1,COL19A1,0.8411800861358643,1,new_SL
TSPAN1,NCOA3,0.8409113883972168,1,new_SL
TSPAN1,AFAP1L2,0.8400864005088806,1,new_SL
TSPAN1,TJP1,0.840001106262207,1,new_SL
TSPAN1,MRE11,0.8399479389190674,1,new_SL
TSPAN1,EGR2,0.8395292162895203,1,new_SL
TSPAN1,WIPF3,0.8391982316970825,1,new_SL
TSPAN1,PMP2,0.8389188647270203,1,new_SL
TSPAN1,E2F2,0.8385729789733887,1,new_SL
TSPAN1,HOXB3,0.8384918570518494,1,new_SL
TSPAN1,VAV3,0.8383589386940002,1,new_SL
TSPAN1,AKAP13,0.83686763048172,1,new_SL
TSPAN1,RAP2C,0.8366823196411133,1,new_SL
TSPAN1,TNK2,0.8366547226905823,1,new_SL
TSPAN1,ANGPTL2,0.8364679217338562,1,new_SL
TSPAN1,CYP2B6,0.8363057971000671,1,new_SL
TSPAN1,SSH1,0.8336100578308105,1,new_SL
TSPAN1,MCF2L,0.8329936265945435,1,new_SL
TSPAN1,SF3A2,0.8328509330749512,1,new_SL
TSPAN1,SPRR2G,0.8312975168228149,1,new_SL
TSPAN1,HOXA9,0.8312717080116272,1,new_SL
TSPAN1,PPFIA1,0.8310260772705078,1,new_SL
TSPAN1,SHC3,0.83061683177948,1,new_SL
TSPAN1,DOK3,0.8305697441101074,1,new_SL
TSPAN1,SASH1,0.830431342124939,1,new_SL
TSPAN1,CKS1B,0.8298108577728271,1,new_SL
TSPAN1,CRYBG2,0.8279699087142944,1,new_SL
TSPAN1,SKP2,0.8272721767425537,1,new_SL
TSPAN1,GOLGA4,0.8272718191146851,1,new_SL
TSPAN1,TEK,0.8272107839584351,1,new_SL
TSPAN1,TFPI,0.8264828324317932,1,new_SL
TSPAN1,RTTN,0.825691819190979,1,new_SL
TSPAN1,SALL1,0.8237161040306091,1,new_SL
TSPAN1,PTPN13,0.8230509161949158,1,new_SL
TSPAN1,BLNK,0.8216068148612976,1,new_SL
TSPAN1,SH3BP2,0.8203108906745911,1,new_SL
TSPAN1,AMPH,0.8198526501655579,1,new_SL
TSPAN1,CASKIN2,0.8197712898254395,1,new_SL
TSPAN1,MDC1,0.8190567493438721,1,new_SL
TSPAN1,VAV2,0.8187711238861084,1,new_SL
TSPAN1,NR4A2,0.8168748021125793,1,new_SL
TSPAN1,PRDM1,0.8168725371360779,1,new_SL
TSPAN1,ST14,0.8163623213768005,1,new_SL
TSPAN1,POLD4,0.8161609172821045,1,new_SL
TSPAN1,CBLB,0.8158362507820129,1,new_SL
TSPAN1,MAP4,0.8156956434249878,1,new_SL
TSPAN1,ELMO2,0.8155145049095154,1,new_SL
TSPAN1,ZFHX4,0.8152181506156921,1,new_SL
TSPAN1,CYP3A7,0.8146703839302063,1,new_SL
TSPAN1,PTPRC,0.8144341111183167,1,new_SL
TSPAN1,CCNL2,0.8142223358154297,1,new_SL
TSPAN1,MT1X,0.8141975998878479,1,new_SL
TSPAN1,ACAN,0.8133183717727661,1,new_SL
TSPAN1,FGF1,0.8126780986785889,1,new_SL
TSPAN1,GHR,0.8120250105857849,1,new_SL
TSPAN1,GPR182,0.8114068508148193,1,new_SL
TSPAN1,STAT5A,0.8110947608947754,1,new_SL
TSPAN1,LYN,0.810678243637085,1,new_SL
TSPAN1,MSL1,0.810513973236084,1,new_SL
TSPAN1,NFKBIB,0.8101986646652222,1,new_SL
TSPAN1,NOS2,0.8090998530387878,1,new_SL
TSPAN1,SPANXN3,0.8084582686424255,1,new_SL
TSPAN1,BMX,0.8084512948989868,1,new_SL
TSPAN1,GPRIN1,0.8081159591674805,1,new_SL
TSPAN1,KRTAP9-6,0.8075358271598816,1,new_SL
TSPAN1,AMOTL1,0.8070821166038513,1,new_SL
TSPAN1,KRIT1,0.8055170178413391,1,new_SL
TSPAN1,NUTM2A,0.8052975535392761,1,new_SL
TSPAN1,TNFRSF8,0.8048269152641296,1,new_SL
TSPAN1,MAPKAPK5,0.8045130968093872,1,new_SL
TSPAN1,LAT,0.8044396042823792,1,new_SL
TSPAN1,GAR1,0.8042279481887817,1,new_SL
TSPAN1,HEG1,0.8035978674888611,1,new_SL
TSPAN1,ITK,0.8033398985862732,1,new_SL
TSPAN1,DOK5,0.8030878305435181,1,new_SL
TSPAN1,PIAS2,0.8030465245246887,1,new_SL
TSPAN1,SPDYE3,0.8028638958930969,1,new_SL
TSPAN1,CD40,0.8020584583282471,1,new_SL
TSPAN1,KCTD1,0.8017845153808594,1,new_SL
TSPAN1,NKX2-3,0.8008583784103394,1,new_SL
TSPAN1,HOXA10,0.8007028102874756,1,new_SL
TSPAN1,CDC42BPB,0.7991921305656433,1,new_SL
TSPAN1,TMA7,0.7972081303596497,1,new_SL
TSPAN1,MPHOSPH10,0.7963773608207703,1,new_SL
TSPAN1,NUCB1,0.7952886819839478,1,new_SL
TSPAN1,CDC25B,0.794234037399292,1,new_SL
TSPAN1,KIAA1549,0.7941131591796875,1,new_SL
TSPAN1,TBX21,0.7938962578773499,1,new_SL
TSPAN1,ELK1,0.7934743762016296,1,new_SL
TSPAN1,RIPPLY3,0.7930587530136108,1,new_SL
TSPAN1,SCARB1,0.7922388911247253,1,new_SL
TSPAN1,ARHGAP27,0.7920529842376709,1,new_SL
TSPAN1,FANCF,0.7915626168251038,1,new_SL
